Name,Mean (ps),2*Stdev (ps)
All.point-queries.inRange.SpanRange,15484,992
All.point-queries.inRange.LowerBoundRange,2282,178
All.point-queries.inRange.UpperBoundRange,2292,132
All.point-queries.inRange.SingletonRange,337,2
All.point-queries.inRange.InfiniteRange,429,30
All.point-queries.inRanges/disjoint-spans.10,54916,3408
All.point-queries.inRanges/disjoint-spans.100,80462,7204
All.point-queries.inRanges/disjoint-spans.1000,102060,6694
All.point-queries.inRanges/disjoint-spans.10000,123943,8246
All.point-queries.inRanges/vs-elem.inRanges-1000,103732,7836
All.point-queries.inRanges/vs-elem.elem-1000,7603280,412042
All.point-queries.inRanges/vs-elem.inRanges-10000,126455,6882
All.point-queries.inRanges/vs-elem.elem-10000,75902124,3476168
All.point-queries.aboveRanges/disjoint-spans.10,14966,1246
All.point-queries.aboveRanges/disjoint-spans.100,14837,1102
All.point-queries.aboveRanges/disjoint-spans.1000,14893,960
All.point-queries.belowRanges/disjoint-spans.10,12094,896
All.point-queries.belowRanges/disjoint-spans.100,12121,902
All.point-queries.belowRanges/disjoint-spans.1000,12114,806
All.set-operations.mergeRanges/already-merged.10,4427667,437332
All.set-operations.mergeRanges/already-merged.100,280748632,13415096
All.set-operations.mergeRanges/already-merged.1000,27818300000,1889030226
All.set-operations.mergeRanges/fully-overlapping.10,1526613,103378
All.set-operations.mergeRanges/fully-overlapping.100,14653521,997222
All.set-operations.mergeRanges/fully-overlapping.1000,152139550,14913524
All.set-operations.mergeRanges/disjoint.10,4421670,432350
All.set-operations.mergeRanges/disjoint.100,281403613,14378964
All.set-operations.mergeRanges/disjoint.1000,27745900000,2090667656
All.set-operations.union.10,13023638,850098
All.set-operations.union.100,846852734,58878464
All.set-operations.union.1000,83560700000,7327147548
All.set-operations.intersection/disjoint.10,8023324,438724
All.set-operations.intersection/disjoint.100,554590234,28373606
All.set-operations.intersection/disjoint.1000,55665800000,3940063578
All.set-operations.intersection/overlapping.10,519753,30270
All.set-operations.intersection/overlapping.100,518631,28664
All.set-operations.intersection/overlapping.1000,517924,51274
All.set-operations.difference.10,9606445,833474
All.set-operations.difference.100,573431250,33505206
All.set-operations.difference.1000,55743650000,3873093342
All.set-operations.invert.10,10022070,898112
All.set-operations.invert.100,667161718,57652120
All.set-operations.invert.1000,66160950000,4265187862
All.construction-conversion.fromRanges/take-N.take-100,680377,52364
All.construction-conversion.fromRanges/take-N.take-1000,677629,53380
All.construction-conversion.fromRanges/take-N.take-10000,688860,58618
All.construction-conversion.joinRanges/adjacent.10,9395977,844230
All.construction-conversion.joinRanges/adjacent.100,658005468,58141260
All.construction-conversion.joinRanges/adjacent.1000,66136275000,3474067012
All.algebra.eval/union-tree.5,3994511,216154
All.algebra.eval/union-tree.10,19568713,1911138
All.algebra.eval/union-tree.20,112943798,7503710
All.algebra.eval/intersection-tree.5,1675156,111304
All.algebra.eval/intersection-tree.10,3504679,234224
All.algebra.eval/intersection-tree.20,7147128,421692
